producer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
Wholesale beef,September,2002,2003,Mid point of prediction interval,-2.5
Wholesale dairy,August,2002,2003,Lower bound of prediction interval,-17.3
Wholesale dairy,July,2002,2003,Upper bound of prediction interval,17.9
Wholesale dairy,July,2002,2003,Mid point of prediction interval,-1.2
Wholesale dairy,July,2002,2003,Lower bound of prediction interval,-17.1
Wholesale poultry,December,2002,2003,Upper bound of prediction interval,7.8
Wholesale poultry,December,2002,2003,Mid point of prediction interval,1.7
Wholesale poultry,December,2002,2003,Lower bound of prediction interval,-4.0
Wholesale poultry,November,2002,2003,Upper bound of prediction interval,7.4
Wholesale beef,July,2002,2003,Lower bound of prediction interval,-13.9
Wholesale beef,July,2002,2003,Mid point of prediction interval,0.6
Wholesale beef,July,2002,2003,Upper bound of prediction interval,17.5
Wholesale beef,August,2002,2003,Lower bound of prediction interval,-16.1
Wholesale beef,August,2002,2003,Mid point of prediction interval,-2.5
Wholesale beef,August,2002,2003,Upper bound of prediction interval,13.2
Wholesale beef,September,2002,2003,Lower bound of prediction interval,-15.3
Wholesale poultry,November,2002,2003,Mid point of prediction interval,1.3
Wholesale beef,September,2002,2003,Upper bound of prediction interval,12.2
Wholesale beef,October,2002,2003,Lower bound of prediction interval,-13.6
Wholesale beef,October,2002,2003,Mid point of prediction interval,-1.4
Wholesale beef,October,2002,2003,Upper bound of prediction interval,12.6
Wholesale beef,November,2002,2003,Lower bound of prediction interval,-14.5
Wholesale beef,November,2002,2003,Mid point of prediction interval,-3.5
Wholesale beef,November,2002,2003,Upper bound of prediction interval,9.6
Wholesale beef,December,2002,2003,Lower bound of prediction interval,-12.6
Wholesale beef,December,2002,2003,Mid point of prediction interval,-2.2
Wholesale beef,December,2002,2003,Upper bound of prediction interval,9.7
Wholesale poultry,November,2002,2003,Lower bound of prediction interval,-4.5
Wholesale dairy,August,2002,2003,Mid point of prediction interval,-2.5
Wholesale dairy,August,2002,2003,Upper bound of prediction interval,14.7
Wholesale dairy,September,2002,2003,Lower bound of prediction interval,-14.7
Wholesale dairy,September,2002,2003,Mid point of prediction interval,-0.7
Farm-level fruits,November,2002,2003,Mid point of prediction interval,1.6
Farm-level cattle,July,2002,2003,Lower bound of prediction interval,-22.5
Farm-level cattle,July,2002,2003,Mid point of prediction interval,-4.1
